v1,v2,v3,v4,a,ndt1,ndt2,ndt3,ndt4,alpha,mean_log_rt,alpha_arc_box,acc_arc_box
1.0,0.885,-0.789,-0.785,0.2,0.073,0.158,0.152,0.088,0.453,-0.216,0.411,0.673
0.885,1.0,-0.804,-0.785,0.389,0.144,0.218,0.187,0.129,0.568,-0.046,0.522,0.777
-0.789,-0.804,1.0,0.908,-0.372,-0.208,-0.313,-0.246,-0.16,-0.536,0.043,-0.514,-0.782
-0.785,-0.785,0.908,1.0,-0.364,-0.199,-0.25,-0.2,-0.192,-0.54,0.059,-0.506,-0.775
0.2,0.389,-0.372,-0.364,1.0,0.222,0.377,0.426,0.419,0.714,0.813,0.736,0.781
0.073,0.144,-0.208,-0.199,0.222,1.0,0.88,0.784,0.781,0.327,0.439,0.338,0.287
0.158,0.218,-0.313,-0.25,0.377,0.88,1.0,0.815,0.806,0.412,0.611,0.399,0.438
0.152,0.187,-0.246,-0.2,0.426,0.784,0.815,1.0,0.944,0.468,0.683,0.428,0.422
0.088,0.129,-0.16,-0.192,0.419,0.781,0.806,0.944,1.0,0.482,0.655,0.421,0.351
0.453,0.568,-0.536,-0.54,0.714,0.327,0.412,0.468,0.482,1.0,0.495,0.974,0.786
-0.216,-0.046,0.043,0.059,0.813,0.439,0.611,0.683,0.655,0.495,1.0,0.498,0.447
0.411,0.522,-0.514,-0.506,0.736,0.338,0.399,0.428,0.421,0.974,0.498,1.0,0.81
0.673,0.777,-0.782,-0.775,0.781,0.287,0.438,0.422,0.351,0.786,0.447,0.81,1.0
